Name	Mana Cost	Type	Rules Text	Flavor Text	Power	Toughness	Loyalty	Name 2	Mana Cost 2	Type 2	Rules Text 2	Flavor Text 2	Power 2	Toughness 2	Loyalty 2	
The Vidalian	5	Legendary Enchantment — Landmark 	​				3	
Fabled Passage		Land	T, Sacrifice this land: Search your library for a basic land card, put it into the battlefield tapped, then shuffle. Then if you control four or more lands, untap that land.					
Frostfallen Swordgrave		Enchantment Land — Sanctuary 	This land enters tapped.\n Sanctify WB (If you cast this card for its Sanctify cost, it’s an Aura spell with enchant land. It becomes a land again if it’s not attached.)\n T: Add W or B. Activate this ability only if it’s a land.\n Enchanted land has “T: Add W or B”\n Whenever enchanted land becomes tapped, exile target card from a graveyard.					
Prismatic Fields		Enchantment Land — Sanctuary 	This land enters tapped.\n Sanctify 2RG (If you cast this card for its Sanctify cost, it’s an Aura spell with enchant land. It becomes a land again if it’s not attached.)\n T: Add R or G. Activate this ability only if it’s a land.\n Enchanted land has “T: Add RG”\n Whenever enchanted land becomes tapped, target creature gains Trample until end of turn, if that creatures base power is less than four, it becomes four until end of turn.					
Radiant Coastline		Enchantment Land — Sanctuary 	This land enters tapped.\n Sanctify WU (If you cast this card for its bestow cost, it’s an Aura spell with enchant creature. It becomes a creature again if it’s not attached.) (If you cast this card for its Sanctify cost, it’s an Aura spell with enchant land. It becomes a land again if it’s not attached.)\n T: Add W or U. Activate this ability only if it’s a land.\n Enchanted land has “T: Add W or U”\n Whenever enchanted land becomes tapped, gain 1 life.					
Riverside Trail		Enchantment Land — Sanctuary 	This land enters tapped.\n Sanctify UB (If you cast this card for its Sanctify cost, it’s an Aura spell with enchant land. It becomes a land again if it’s not attached.)\n T: Add U or B. Activate this ability only if it’s a land.\n Enchanted land has “T: Add U or B”\n Whenever enchanted land becomes tapped, target opponent loses 1 life.					
Skyscraped Canyon		Enchantment Land — Sanctuary 	This land enters tapped.\n Sanctify RW (If you cast this card for its Sanctify cost, it’s an Aura spell with enchant land. It becomes a land again if it’s not attached.)\n T: Add W or R. Activate this ability only if it’s a land.\n Enchanted land has “T: Add W or R”\n Whenever enchanted land becomes tapped, target creature gains haste until end of turn.					
Sprawling Treehouse		Enchantment Land — Sanctuary 	This land enters tapped.\n Sanctify 2GU (If you cast this card for its Sanctify cost, it’s an Aura spell with enchant land. It becomes a land again if it’s not attached.)\n T: Add G or U. Activate this ability only if it’s a land.\n Enchanted land has “T: Add GU”\n Whenever enchanted land becomes tapped, you may put a +1/+1 counter on target creature you control with no counters on it.					
Vivid Embankment		Enchantment Land — Sanctuary 	This land enters tapped.\n Sanctify UR (If you cast this card for its Sanctify cost, it’s an Aura spell with enchant land. It becomes a land again if it’s not attached.)\n T: Add U or R. Activate this ability only if it’s a land.\n Enchanted land has “T: Add U or R”\n Whenever enchanted land becomes tapped, scry 1.					
Sorting Sides	2UUU	Sorcery	Demonstrate (When you cast this spell, you may copy it. If you do, choose an opponent to also copy it.)\n Each opponent chooses a nonland, nontoken permanent they control and own, gain control of those permanents.					
Atakhan, Ruin Contained	5BBB	Legendary Creature — Demon Shade 	Trample, ward—Atakhan’s controller chooses a creature card in your graveyard to return to the battlefield under their control.\n When you cast this spell, return the creature with the greatest mana value from your graveyard to the battlefield, you lose life equal to its cost\n Whenever this creature attacks, you may sacrifice any number of creatures, if you do, this creature gets +X/+X until end of turn, each opponent loses X life and you gain life equal to the amount lost this way where X is the total mana value of the creatures sacrificed.					
Demonic Ascension	1BR	Enchantment	At the beginning of each upkeep, put a flare counter on Demonic Ascension, if Demonic Ascension has 3 or more flare counters, remove them and, tap and deal 1 damage to each creature you don’t control.\n At the beginning of each player’s end step, if no creatures are on an opponents battlefield, sacrifice Demonic Ascension.					
Founding the Immortal Bastion	1UBR	Legendary Enchantment — Saga 	(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\n I — Amass humans 3.\n Draw 2 cards.\n II — Each opponent reveals their hand, you may choose a card from among them, exile it.\n III — You lose 5 life, then choose a previous chapter ability to repeat twice.					
The Leviathan	4BR	Legendary Artifact — Vehicle 	Hideaway 3 Hideaway 3 Hideaway 3\n Whenever The Leviathan attacks, you may put a creature card exiled by The Leviathan onto the battlefield tapped and attacking.\n Whenever the Leviathan leaves the battlefield, return all cards exiled by it to their owners hands.\n Crew 6					
Noxian Manifest	2BR	Sorcery	Choose two, you may tap an untapped Warrior you control. If you do, choose another —\n • Choose target creature with mana value 2 or less gain control of it, it becomes a Warrior in addition to its other types.\n • Each opponent sacrifices an artifact, for each artifact destroyed this way create a tapped Treasure token.\n • Deal X damage to target creature or planeswalker where X is the number of creatures you control.					
T-Hex		Artifact — Vehicle 			2	2		
Ruined Manifest	2UB	Sorcery	Choose two, you may exile three cards from your graveyard. If you do, choose another —\n • Mill five, you may exile any number of cards milled this way.\n • Return up to one target creature from your graveyard to your hand, if its mana value is 3 or less, return it to the battlefield instead.\n • Gain X life, surveil X, where X is the number of creature cards that left your graveyard this turn.					
Zaunite Manifest	2BG	Sorcery	Choose two, you may discard a card. If you do, choose another —\n • You may sacrifice a permanent. If you do, draw two cards.\n • Return up to one target creature with mana value X or less to the battlefield, where X is the amount of times you have descended this turn.\n • Each opponent who has less creatures than you discards a card, then each opponent who has less cards in hand than you sacrifices a creature.					
Shuriman Manifest	2RW	Sorcery	Choose two, if you control two Deserts, choose another —\n • Until the end of your next turn, if you would create a token, create twice that many instead.\n • Create two 1/1 Sand creature tokens.\n • Deal damage equal to the number of creatures you control to target creature or planeswalker.					
The Immortal Bastion	3B	Legendary Enchantment — Landmark 	​				3	
Horazi, Darkin Focus	U	Legendary Artifact	When this artifact enters, draw a card.\n 1UB, pay 3 life, T: Choose five different card names, then put the bottom five cards of your library into your graveyard, if those cards all share a name with cards chosen this way return those cards to your hand, exile this artifact, then return it to the battlefield transformed under your control.\n Horazi, Darkin Focus can be your commander.					Horazi, Seeker of Oblivion		Legendary Creature — Darkin Wizard 	Flying\n You have no maximum hand size.\n You may cast only one spell during each of your opponents turns.\n At the beginning of each upkeep you may name a card, you may play the named card this turn without paying its mana cost and as though it had flash.		3	7		
Chaos Warp	2R	Instant	The owner of target permanent shuffles it into their library, then reveals the top card of their library. If it is a permanent card, they put it onto the battlefield.					
Invasion of Icathia	1WW	Battle — Siege 	When this Battle enters, create two colorless 1/1 Voidling creature tokens with “Devoid, ingest” (Whenever that creature deals combat damage to a player, that player exiles the top card of their library.)				4	
Hunger of the Void	1WB	Instant	Target creature gets consumed by the void.	“You call us nothing, yet we are everything. Every place, every time... we are you.” -Bel’Veth				
It Consumes All	3WWB	Sorcery	Consume all nonland permanents.	“A final feast to devour the world.” -Bel’Veth				
Nethergrasp	WUB	Instant	Consume any number of target spells.	“All life will be repurposed. The void will live.” -Bel’Veth				
Void Abomination	7UB	Legendary Creature — Voidling Horror 	Flying\n As you cast this spell you may put up to seven cards from exile or the void into their owners graveyard, this costs 1 less to cast for each card put into a graveyard this way\n Whenever a card enters or leaves the void each opponent loses two life and you gain two life					
Stryaatu, Song of Rage	1BR	Legendary Artifact	At the beginning of your upkeep and when Stryaatu enters the battlefield, put a chorus counter on Stryaatu, then gain control of any number of target nontoken creatures with mana value X or less until end of turn where X is the number of chorus counters on Styraatu they gain haste and can’t be sacrificed until end of turn\n Whenever you attack with three or more creatures you don’t own exile Styraatu then return it to the battlefield tapped and attacking.\n Stryaatu, Song of Rage can be your commander					Styraatu, Tendrills Of Madness		Legendary Creature — Darkin Incarnation 	Menace, Lifelink\n Whenever Styraatu deals combat damage to an opponent, exile each creature you control that is owned by that player, you may cast spells exiled this way by paying life equal to its mana value rather than pay its mana cost.   		6	5		
Sunk Cost	7U	Sorcery	Delve (Each card you exile from your graveyard while casting this spell pays for 1.)\n Overload 8UUU (You may cast this spell for its overload cost. If you do, change “target” in its text to “each.”)\n Put target non-land permanent on the bottom of their owner’s library					
Gorlith the Unscaleable	8WW	Artifact Creature — Golem 	Ward 6 (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays 6.)\n Other permanents you control have hexproof and indestructible.		6	14		
Poro's Affection	G/W	Sorcery	Reveal cards from the top of your library until you reveal a Poro card, if its a creature with mana value less than the number of Poros you control put it onto the battlefield, otherwise put it into your hand.					
Poro Soldier	1WW	Creature — Poro Soldier 	Soldiers and Poros you control have ward 1. (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays 1.)\n Poros with base power or toughness less than 2 become 2.		2	2		
Proto Poro	GW	Creature — Poro 	Flash\n When Proto Poro enters, up to one target creature gains hexproof until end of turn, if that creature is a Poro, put a +1/+1 counter on that creature.		2	2		
Mighty Poro	7WW	Creature — Poro Warrior 	Affinity for poros (This spell costs 1 less to cast for each poro you control.)\n Whenever this creatures enters, reveal the top X cards of your library where X is the number of Poros you control, you may put any number of Poros from among them into your hand and put the rest on the bottom of your library.		5	6		
Poro, Heart of the Fluft	W	Creature — Poro Knight 	If this creature or another Poro would enter the battlefield, if no mana was spent to cast them they enter with a +1/+1 counter.		1	1		
Poro Play Time	2W	Sorcery	Choose up to 3 🥖 Worth of modes. You may choose the same mode more than once.\n 🥖 — Create a 1/1 white Poro token\n 🥖 — You may put a Poro with mana value 2 or less from your hand onto the battlefield\n 🥖🥖 — Return a Poro with mana value 2 or less from your graveyard to the battlefield					
Poro Shepherd	1W	Creature — Human Shaman 	Poro creatures you control have Convoke. (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for 1 or one mana of that creature’s color.)\n At the beginning of your endstep, untap target Poro you control.		1	2		
Sledding Poro	1WU	Creature — Poro 	Poros you control have haste.\n Whenever one or more Poros you control attacks, you may put a Poro card with mana value less than the number of attacking Poros onto the battlefield tapped and attacking.		2	2		
Fabled Poro	RW	Creature — Poro 	When Fabled Poro enters the battlefield, if you control five or more Poros, up to one target equipment becomes a masterwork.					
Poro Canon	RW	Sorcery	As an additional cost to cast this spell, sacrifice a Poro.\n Deal 6 damage to any target.					
Destined Poro	1W	Creature — Poro  	When this creature enters, you gain 1 life and draw a card.		1	1		
Exalted Poro	2WW	Creature — Poro  Noble 	Flying, ascend\n Whenever this creature attacks, create a 1/1 white Poro creature token.\n As long as you have cities blessing, if one or more tokens would be made under your control, twice as many are created instead.		2	4		
The Great Stand	GWU	Enchantment — Saga 	(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\n I, II, III — Choose one that has not been chosen: Draw a card for each lore counter on The Great Stand. Gain four life for each lore counter on The Great Stand. Create a 2/2 green and blue fox spirit with flying and “This creature can’t block” for each lore counter on The Great Stand.\n ​\n ​					
Lamppost	1	Artifact	Creatures your opponents control can be targeted as though they don’t have hexproof. Targeting those creatures does not cause triggered abilities to trigger.					
Citybreaker	2R	Artifact — Vehicle 	Vigilance\n T, Sacrifice an artifact or creature: This Vehicle deals damage equal to the cards mana value plus the number of creatures that have crewed this Vehicle this turn.\n Crew 5		4	5		
Blasphemous Act	8R	Sorcery	This spell costs 1 less to cast for each creature on the battlefield.\n This spell deals 13 damage to each creature.					
Winding Desert		Land — Desert 	This land enters tapped\n T: Sacrifice this land: Search your library for a basic land or a Desert card, put that card onto the battlefield then shuffle your library.					
Site of the Sun Disc		Legendary Land — Desert 	Ascend (If you control ten or more permanents, you get the city’s blessing for the rest of the game.)\n This land enters tapped.\n T: Add C\n T: Add two mana in any combination of colors, activate this ability only if you have the city’s blessing or control a God. 					
Scorching Sands	2R	Enchantment	Whenever this enchantment or a Desert enters the battlefield under your control, this enchantment deals 1 damage to target player and each creature that player controls.					
Treasure Seeker	RW	Creature — Human Nomad 	Provoke (Whenever this creature attacks, you may have target creature defending player controls untap and block it if able.)\n Enrage — When this creature takes damage create a treasure token.		1	3		
Rampaging Baccai	1RG	Creature — Hyena Warrior 	Enrage — Whenever this creature takes damage target opponent  sacrifices an artifact or enchantment.		2	3		
Arcane Signet	2	Artifact	T: Add one mana of any color in your commander’s color identity.					
Conduit of Worlds	2GG	Artifact	You may play lands from your graveyard.\n T: Choose target nonland permanent card in your graveyard. If you haven’t cast a spell this turn, you may cast that card. If you do, you can’t cast additional spells this turn. Activate only as a sorcery.					
Fellwar Stone	2	Artifact	T: Add one mana of any color that a land an opponent controls could produce.					
Inspiring Statuary	3	Artifact	Nonartifact spells you cast have improvise. (Your artifacts can help cast this spell. Each artifact you tap after you’re done activating mana abilities pays for 1.)					
Realmbreaker, the Invasion Tree	3	Legendary Artifact	2, T:Target opponent mills three cards. Put a land card from their graveyard onto the battlefield tapped under your control. It gains “If this land would leave the battlefield, exile it instead of putting it anywhere else.”\n 10, T, Sacrifice Realmbreaker: Search your library for any number of Praetor cards, put them onto the battlefield, then shuffle.					
Sol Ring	1	Artifact	T: Add CC					
Swiftfoot Boots	2	Artifact — Equipment 	Equipped creature has hexproof and haste. (This permanent can’t be the target of spells or abilities your opponents control.)\n Equip 1					
Zuran Orb	0	Artifact	Sacrifice a land: You gain 2 life.					
Arboreal Grazer	G	Creature — Sloth Beast 	Reach\n When this creature enters, you may put a land card from your hand onto the battlefield tapped.		0	3		
Avenger of Zendikar	5GG	Creature — Elemental 	When this creature enters, create a 0/1 green Plant creature token for each land you control.\n Landfall — Whenever a land you control enters, you may put a +1/+1 counter on each Plant creature you control.		5	5		
Azusa, Lost but Seeking	2G	Legendary Creature — Human Monk 	You may play two additional lands on each of your turns.		1	2		
Baylen, the Haymaker	RGW	Legendary Creature — Rabbit Warrior 	Tap two untapped tokens you control: Add one mana of any color.\n Tap three untapped tokens you control: Draw a card.\n Tap four untapped tokens you control: Put three +1/+1 counters on Baylen. It gains trample until end of turn.		4	3		
Chishiro, the Shattered Blade	2RG	Legendary Creature — Snake Samurai	Whenever an Aura or Equipment you control enters, create a 2/2 red Spirit creature token with menace.\n At the beginning of your end step, put a +1/+1 counter on each modified creature you control. (Equipment, Auras you control, and counters are modifications.)		4	4		
Dune Chanter	2G	Creature — Druid Plant 	Reach\n Lands you control and land cards you own that aren’t on the battlefield are Deserts in addition to their other types.\n Lands you control have “: Add one mana of any color.”\n T: Mill two cards. You gain 1 life for each land card milled this way.		2	3		
Jaheira, Friend of the Forest	2G	Legendary Creature — Human Elf Druid	Tokens you control have “: Add .”\n Choose a Background (You can have a Background as a second commander.) (You can have a Background as a second commander.)		2	3		
Lotus Cobra	1G	Creature — Snake 	Landfall — Whenever a land you control enters, add one mana of any color.		2	1		
Maja, Bretagard Protector	2GWW	Legendary Creature — Human Warrior	Other creatures you control get +1/+1.\n Landfall — Whenever a land you control enters, create a 1/1 white Human Warrior creature token.		2	3		
Mina and Denn, Wildborn	2RG	Legendary Creature — Elf Ally	You may play an additional land on each of your turns.\n RG, Return a land you control to its owner’s hand: Target creature gains trample until end of turn.		4	4		
Outcaster Greenblade	2G	Creature — Human Mercernary 	When this creature enters, search your library for a basic land card or a Desert card, reveal it, put it into your hand, then shuffle.\n This creature gets +1/+1 for each Desert you control.		1	2		
Perennial Behemoth	5	Artifact Creature — Beast 	You may play lands from your graveyard.\n Unearth GG  (GG: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the end step or if it would leave the battlefield. Unearth only as a sorcery.)		2	7		
Rampaging Baloths	4GG	Creature — Beast	Trample\n Landfall — Whenever a land you control enters, create a 4/4 green Beast creature token.		6	6		
Ramunap Excavator	2G	Creature — Cleric Snake 	You may play lands from your graveyard.		2	3		
Reckless Fireweaver	1R	Creature — Human Artificer 	Whenever an artifact you control enters, this creature deals 1 damage to each opponent.		1	3		
Rumbleweed	10G	Creature — Elemental Plant 	This spell costs 1 less to cast for each land card in your graveyard.\n Vigilance, reach, trample\n When this creature enters, other creatures you control get +3/+3 and gain trample until end of turn.		8	8		
Rumor Gatherer	1WW	Creature — Elf Wizard 	Alliance — Whenever another creature you control enters, scry 1. If this is the second time this ability has resolved this turn, draw a card instead.		2	1		
Sakura-Tribe Elder	1G	Creature — Snake Shaman 	Sacrifice this creature: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.		1	1		
Sand Scout	1W	Creature — Human Scout 	When this creature enters, if an opponent controls more lands than you, search your library for a Desert card, put it onto the battlefield tapped, then shuffle.\n Whenever one or more land cards are put into your graveyard from anywhere, create a 1/1 red, green, and white Sand Warrior creature token. This ability triggers only once each turn.		2	2		
Shefet Monitor	5G	Creature	Cycling 3G (3G, Discard this card: Draw a card.)\n When you cycle this card, you may search your library for a basic land card or a Desert card, put it onto the battlefield, then shuffle. (Do this before you draw.)		6	5		
Springbloom Druid	2G	Creature — Elf Druid 	When this creature enters, you may sacrifice a land. If you do, search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.		1	1		
Stangg, Echo Warrior	2RG	Legendary Creature — Human Warrior 	Whenever Stangg attacks, create Stangg Twin, a legendary 3/4 red and green Human Warrior creature token. It enters tapped and attacking. For each Aura and Equipment attached to Stangg, create a token that’s a copy of it attached to Stangg Twin. Sacrifice all tokens created this way at the beginning of the next end step.		3	4		
Tireless Provisioner	2G	Creature — Elf Scout 	Landfall — Whenever a land you control enters, create a Food token or a Treasure token. (Food is an artifact with “, , Sacrifice this token: You gain 3 life.” Treasure is an artifact with “, Sacrifice this token: Add one mana of any color.”)		3	2		
Titania, Protector of Argoth	3GG	Legendary Creature — Elemental 	When this creature enters, return target land card from your graveyard to the battlefield.\n Whenever a land you control is put into a graveyard from the battlefield, create a 5/3 green Elemental creature token.		5	3		
Toggo, Goblin Weaponsmith	2R	Legendary Creature — Goblin Artificer 	Landfall — Whenever a land you control enters, create a colorless Equipment artifact token named Rock with “Equipped creature has ‘1, T, Sacrifice Rock: This creature deals 2 damage to any target’” and equip 1.\n Partner (You can have two commanders if both have partner.)					
World Shaper	3G	Creature — Merfolk Shaman 	Whenever this creature attacks, you may mill three cards.\n When this creature dies, return all land cards from your graveyard to the battlefield tapped.		3	3		
Yuma, Proud Protector	5RGW	Legendary Creature — Human Ranger 	This spell costs 1 less to cast for each land card in your graveyard.\n Whenever Yuma enters or attacks, you may sacrifice a land. If you do, draw a card.\n Whenever a Desert card is put into your graveyard from anywhere, create a 4/2 green Plant Warrior creature token with reach.		6	6		
Annie Joins Up	1RGW	Legendary Enchantment	When this enchantment enters, it deals 5 damage to target creature or planeswalker an opponent controls.\n If a triggered ability of a legendary creature you control triggers, that ability triggers an additional time.					
Caretaker's Talent	2W	Enchantment — Class 	(Gain the next level as a sorcery to add its ability.)\n Whenever one or more tokens you control enter, draw a card. This ability triggers only once each turn.\n W: Level 2\n When this Class becomes level 2, create a token that’s a copy of target token you control.\n 3W: Level 3\n Creature tokens you control get +2/+2.					
